distance,hour,weather,traffic,price
1.448406,10,rain,high,26.0
3.7014819999999995,16,snow,high,27.15
0.8529502,19,rain,high,10.1
2.896812,13,clear,high,22.75
2.7519714,18,rain,medium,18.5
6.759228,22,clear,medium,26.95
3.9106962000000003,9,clear,high,21.84
0.9656039999999999,17,clear,high,13.4
4.2647509999999995,18,clear,high,30.72
4.184284,1,rain,high,23.05
4.8441133999999995,21,clear,high,22.7
42.518762800000005,17,rain,low,97.69
1.8024608000000002,1,clear,high,22.85
1.528873,17,clear,high,17.28
2.41401,16,clear,high,18.6
1.3840324,18,clear,high,12.6
12.391918,17,clear,medium,49.2
29.129054000000004,10,rain,low,106.31
1.5932466,11,rain,medium,11.2
6.115492,12,clear,high,25.0
2.41401,11,clear,high,16.0
3.9589764,17,clear,high,22.68
1.448406,8,snow,high,11.9
1.5932466,9,clear,medium,13.44
1.3518455999999999,19,rain,high,19.75
1.60934,19,rain,high,17.28
4.876300199999999,11,rain,medium,22.0
10.7986714,22,clear,medium,47.71
28.3082906,23,clear,medium,97.69
0.9816973999999999,13,clear,high,13.65
1.7059004,22,clear,high,17.16
9.3180786,20,clear,medium,43.44
5.552223000000001,16,snow,medium,30.25
3.3635205999999997,18,clear,high,24.0
1.367939,21,clear,medium,12.96
7.3546838,14,clear,medium,33.25
1.1104446,11,rain,high,10.5
7.402963999999999,22,clear,medium,32.25
1.3357522,13,rain,high,14.28
3.1703997999999998,19,rain,high,20.0
1.8829277999999998,12,snow,high,18.8
6.43736,10,clear,medium,23.1
6.3407995999999995,23,clear,high,33.3
32.8788162,17,clear,low,98.88
1.1426314,13,clear,high,13.12
3.7336688,11,clear,medium,18.3
9.9135344,14,rain,high,47.04
1.5449663999999999,20,clear,high,17.3
2.9289988,22,rain,medium,19.68
0.9656039999999999,15,clear,high,10.5
0.9816973999999999,13,clear,high,12.25
4.82802,10,clear,medium,20.95
1.3035654,20,clear,medium,13.8
5.1016078,16,clear,high,34.08
16.89807,7,rain,high,37.0
10.782578,23,rain,medium,42.35
1.2230984,16,clear,high,8.0
25.910374,17,snow,low,70.02
16.0934,18,rain,medium,46.6
7.9823264,22,clear,medium,33.4
1.8024608000000002,20,clear,high,18.0
3.379614,13,clear,high,24.35
4.2808444,17,rain,high,24.36
5.0050474,15,clear,high,23.08
3.379614,1,snow,high,19.7
5.6970636,13,snow,high,30.24
4.007256600000001,0,clear,high,24.72
2.5266638,13,rain,high,21.0
3.2508668,1,snow,high,22.1
27.5358074,23,clear,medium,88.8
1.2874720000000002,8,clear,high,14.96
1.8990212,23,rain,high,17.16
