Feature,Importance
distance_peak,0.6192044266050718
distance_log,0.09106113451627575
distance_squared,0.08644577673237727
distance_traffic,0.08354460667424776
distance,0.0731660219998387
demand_score,0.02638148662691562
distance_bucket,0.0039466459902132425
weather_peak,0.0038248684466703387
is_peak,0.003259733596126489
weather_encoded,0.0030982815934938266
traffic_peak,0.002444658993905276
hour_cos,0.0012356203230102258
hour_sin,0.000985778985102788
hour,0.0009315287484420562
traffic_encoded,0.00037557865240875744
is_night,9.385151590031515e-05
